hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card,age,token
Resort Hotel,0,342,2015,July,27,1,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2015-07-01,Ernest Barnes,dho/v1JYLW0L3X74NSTdLxhOP2sJlIulRnRsX/W3LRtZZ54wsn9ED1nUITrKfbA0pTkik0d87B3ebMay7Xxwcnuqdj4FDwxPzh+Y65rT/B2uJZjvirkqg7SdvEes06WuCdXKHKFA6jI9iwMHVUqI4paKJHKjzsesnkD4XRGbPPhkgEscZ6+zePSzDMCs782HcGdd9DB3IbLZCCBgK9am55dPnbWfjmGJ4PxFwVqYEIiCJn0ev5tKHHJR5XCvTSXJ+k5fAiF7bPEtsiTrSzv/AHGr+wotjbaI2sV9CbSjrfyDWu10ahGQJcb38Y+HgHPfqlPHTAJD7XVl/UJ6482w6A==,669-792-1661,************4322,43,0980c1a8244f944ee7874d6c08320011
Resort Hotel,0,737,2015,July,27,1,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2015-07-01,Andrea Baker,Xz3yk42Ohb/gVpvKonIfosh77uTR3ilSZxB/Cirqi2wXMLM/9dT8vC0jvbQBTESVAkIXjWIN+tLPSZlvWh3AcVwQjEB5AciUMIfBqVC7RBhU4ZePKAu30prwsDM356YwAxO18cWEIEo8qSvCTYJj+dSt6W3F9lQr4G/KlVAYYXnyHJhcyvbi6YrQaRsSYz+UdR9LjoWCIdFk0Dj3HO3L6st9J7TS0fg+yyi6RxY4QEFgZuAAjccdiLZ2VPa/ssICzkMQ2hBa2zTTcy9QM60zmIdONyw8H0m8eCF5Js8WCmlEnDxfRkUxU065q7GvXrhAvofnDGj+axh59khZosc4mg==,858-637-6955,************9157,72,141a1205557d38e51a9a0ff255672e27
Resort Hotel,0,7,2015,July,27,1,0,1,1,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,75.0,0,0,Check-Out,2015-07-02,Rebecca Parker,GF0nRn0MMwnOJw7K2AGe48fqcmwVldrvJvqrAwuEdT2D897aSjBqpL7USBqo1a6AKz3Zf/q+z/7pdWzxMj56a6GIUHg0pFq7oK2R6E3V6M0VU0Y30NDuek+2/uvswcOPatUUZ7DMniocUvoxqLNhdZihqwTXCCjOJbnWbateu5iajnTv5PXYES5pE33ifCvq4ZqUGM6CqAii7bNknd0BRkKT2PBwb09WKgnTS6EVKsKLbXNmLt8vpEz/MCTZJuQ16HodtAADUtwRgk0bjaqsdbvLrTVbB8zI6rS1DDYXr2Fqgfs3DuC/ZCbDN9c9XMERzY5g05OUBJuvfyJafda5oQ==,652-885-2745,************3734,44,8f8ab732318d133dedd39b240afed622
Resort Hotel,0,13,2015,July,27,1,0,1,1,0.0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304.0,,0,Transient,75.0,0,0,Check-Out,2015-07-02,Laura Murray,ibwKAVHU5yZbC5U7FZ4J3nrfNw/n3Pl7zoCJO0yYAubEKnKxHneWYdl7pW5END69FEeoEsmU2hd5E0VRrIrqwbsa37Il3p/KRGxSYoAlHuy5daw20UUtF3AJJKTMIOCZPuj92bLTY6rUyDcFd7MsNaDDQeWHv1HI80wVnDVKuPtlJrC/up4XWWjwE5NvCVxB+MwRY6zUTO2XOFC5ZgvI5XboKJGA7ECAD5fBSm7JdPMGG0rcfzQ2olxaA84QNyE72NxDKXu3f5hwGy1qbiIZdxmfx9cm/XKJEd6c+5R4g5pdcL7lARDEqTD7vG71/XUk52QKefW/h9nqjwZbRBjVSA==,364-656-8427,************5677,63,b7dbe4b2d05481784bfabd9516a67b36
Resort Hotel,0,14,2015,July,27,1,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,98.0,0,1,Check-Out,2015-07-03,Linda Hines,P3lTNJNtEFwKr2oOoDaO3y25Qk3lh7rVyXLQqiTJl/0z9RmaR6FoHEPNQMuypR7q9DViN/Efi2zGxiCiK8xJoqjPLScBuqlqc1xv7Z8KjZ5AZgl0hUkVLGXG3T1danjvrg17PTJ9+mgbRw3B77tXKirDDofuExr268KFJRsvVv6+Xd6Rx1zzbsAJCEpzs30WmKKiYVOWSn+Vx7wEbI9VkJiHkT3au28fCAPSGIg4jTXB0oRIZ/kJjuUsWM5YHVZZYl+r84fYhD9hDQMmO8AVagjwRqkQMaNT9CRpHZNAmPL0U+hilZs0RVwSHzDRN6kQ96MSHFZkIVMI8WxDzJscQQ==,713-226-5883,************5498,36,10e320e78ee6b29101c3f38ee35563b2
Resort Hotel,0,14,2015,July,27,1,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,98.0,0,1,Check-Out,2015-07-03,Jasmine Fletcher,jNR/R93D5UrQ25nCwvcmoXyDi6XcLKVDdAYVX5P/7/WDamAVreIuWI0Rr2pQMOxzb2+Teqp0izGePXT2oja7uFxGywwTK4sL7pobouo/U7/exPnT+C9if3M9GpYd0GhPm5eRjMxIv+qryxn9sC8znzfxBNQ3370WA1i7/1Vtw8vtHF2JyZILZymoyX2OGoyM1CBfCFCEOUenfiD/tLFyT4HoejnHYTLiBaKC+VoffhVf+17GBJqx/2AMfMnVXhaZXS827PXsdDVPQlmXueXzk6ooF+EjrWGcXVYhXEErH/3Ax4EW4daycnq3+mrBb06Wr/pDV0sPKQZHNZBt6cFTHg==,190-271-6743,************9263,64,ece2cdd9133812ebd7cd6c19b8df500f
Resort Hotel,0,0,2015,July,27,1,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107.0,0,0,Check-Out,2015-07-03,Dylan Rangel,ds+sF1kKO+cc3RotVfbh6RGpH0+sXTwN60b+lBMiFLyr6lDG8egnwqKGQ41lXJ1X80rYMgfHSMG0+qYyoktouhcP2rzw1gTQjXD2OHBssSa7LsVbITONfdfALa+ry62KAWW74E78Tz1YueAeJXN6SMN7ImeFVcmtbC9ApE6EKd/v2SQLFo6ll3AFcp/cUZV82s8y6pdKIcOjfUPjn7915HjHTUkVFWSGoA5V2DZXcpUT0PAtLlGxSR/lvls2vTt0NydNTrdf4W6jve49dZQlNmhh0IO9StQgcqQeNHKUxCxz6iqIBk3KygJnZgdvyyHW7T6HEKyRCGxksS9C8Hw8Wg==,420-332-5209,************6994,42,6cf48837280a52206574130d9e2e164b
Resort Hotel,0,9,2015,July,27,1,0,2,2,0.0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303.0,,0,Transient,103.0,0,1,Check-Out,2015-07-03,William Velez,ktZokYH+juNEosLL8DCJw7vXdf1YO34XAjJ+h6P5PqUBqRa6XFUat/pAMNdR7CU0iq+zdbimOq5uwc11cgtPKb/Oer6jwqVGLqQmBSHRfgd9Zzx49NfbypzmgO33/jnXJq/Ipb35IlbGhgAnIGYrePA8Mz/AG13wNCtbjS5z1j6JdeSUU+mbHCxsx+b/Rr0+PLLv0XfuLqYWlT7sOBPTQoRmMcaP8woxGCMMwFNedrjAVAU6Q1NdSecD6oU0xrN88pHY8aW6rIHMVugESC6GBB4JF7dZSHVPnuZeiXKPNethU3Q2pArAwDt6+aYa9uzZrHB43s00yvYZzEln011urg==,286-669-4333,************8729,67,f16f616c5a63956a1e1a8f34178ee23a
Resort Hotel,1,85,2015,July,27,1,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,82.0,0,1,Canceled,2015-05-06,Steven Murphy,Hu9AvkkYW8CuL/p9x+7EYRR4IwkJzWgCH8TBV93uqaIgEb28OKR/NRfy4FxDg5Y9KkLH93jFg2NhN94eLpWmN9tKLcnsY22+eb/6R0omCqgrEq9tNxpaVEYWJ9cK4rOuO5/rpDfkn6xZD9rGN/osT/eDvwa1A7V+GCJho9yj4zDhKFzum8Fw4Vs5h98AVtqktj/tgqbbwSvpeaLslah4Np+848Fp2e0n1deR2kT/dC4H2A2xzjLfTNs7zqAAVaKUaxfGydy8eFDC2VsI+yHcYVOhW03VeCeGvl5bjo27clSTmDuRljxWiMjxninG1vZiUI2UiIo33IIoi1rORCoZ+w==,341-726-5787,************3639,41,45a7f29b5408c707aa4a0bada3b3d586
Resort Hotel,1,75,2015,July,27,1,0,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15.0,,0,Transient,105.5,0,0,Canceled,2015-04-22,Michael Moore,s/ccOUyEY1JQhpOBUNABZjejPDrsxsjAQbgWX+ekNd/V4GC4iLWZlWlHoDkcp4LyMXOGAwf1b1huZCtSBu+NW2BKfuJ0JEsa2U9v3Qp9YRDp+BH159hFU/cGxpxgHGDoargTvTaSGnQa6hUQqoF4sn1Zfw49DH8N2RWxsFRdABoczJZpHy8ebG2MEMDpTcwA3d0RkWKyyUdyiABY3UcayY+BCSnmbsPAIEHQNkbm/PC382d4eR1Ww5if4kou4uK2TINLiYfpJMBSkBbeBfL7U+EeXLBo0crgdKil+An93WkrpyxvZoZ+xojfnj+mAnyQScdwj8PhARgALrUbzNzXcQ==,316-648-6176,************9190,31,6e16af7ae13d812c707d55ed0fffc72b
Resort Hotel,1,23,2015,July,27,1,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,123.0,0,0,Canceled,2015-06-23,Priscilla Collins PhD,Orsu4ETf/okFn6rNfCzqO6rzS8YBZfIGNbSel90O2UKs77Mj0wAesS8L1LapPNWswG81h9LBUoABP2ATi1S0NT/2da7JMyA7nhdFdFgcYhQDGrKvvDk8mroOdEA+55nM6+YV4AN/gU/i7uYQemtPsI+cGQ99SaS13+ML/5dpoMOH0R+0pNGuYoJ9vWumPgvKYxTGV3OnKepMBdkszfgDX4EY2SzGAXe4M5aglpDCKsrYF2uFLcEyPbSg2T48RlVr6mQZRvx3pxyMEzlVpnJ5pqn/SYMeHjFK+5RqtJgxr1xQ3637ezYiWgy1A+u8OFg7koob5Ifayz2aiyBR0004QA==,833-887-7898,************4642,38,305174a570804a91379a5d5fd692eb0f
Resort Hotel,0,35,2015,July,27,1,0,4,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,145.0,0,0,Check-Out,2015-07-05,Laurie Smith,MXoJw2ZTpT/5l62GaJXQbrtauTE1Q7jVcnPka9byOuvv8iNnyAXhw1yG4pDtXN8rDEVX01sDH7oHWzUwl1nfpJjhoFj4dLlvyhGMPto4SOeG3WKlbBbd92mruE5E870FT+EhMYlinkLqU6jgJDBdHiS0CFmdPlM464NHrKHfetljW9J3JuKU9oThpZ9ZRliPo+hUxAK1jgD88p2isSS6Kg+5TrDu9OjV3X4DZPt3MhnTfoN4KYX9z78o+mXQyGrqMxEYkOzeSi/RVy+tGX9b5cgUkhaoPnwYVI2wQN0ABtKIECska9TO45bd5T7hN0y9ZzX+EGG1+mMU3OvFF6Qivg==,804-383-4080,************5450,38,b86294076b79381841d32140921fdb07
