hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card,age,token
Resort Hotel,0,342,2015,July,27,1,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2015-07-01,Ernest Barnes,jY3RfrGZR/hcgfEYjqCd0fLcgVxGsvL3jpHBhXECZDwn/oBc7aOb3sZpVNR418QmnAuei1P5FryzL2d4UdPRkwKfQ0c+jRI5wWvZc+G5QuUgO8SIZY2b5ugvSMc7hlJZXAx0hEXGAyX6uVSozcAe9dwpKX+dZ+ON3znYpKpRw+UwpULh9f+yDcsayo4EtMp3PEa63gezsv8R+6l/Ijnw0wTETT/k3fVPRHR48kEznMXlx025ZXTX2lFA3Z9+lFW7Da6FqiJnA8pJXVF++XaRF/DBbYvp/Pnfdz46uuftHQB2kQHfqtPvDe6RKKbTG40K9wzR7t1MTE8xt6vgc6zANw==,669-792-1661,************4322,43,2095ee65add23d534121bd077be36e8e
Resort Hotel,0,737,2015,July,27,1,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2015-07-01,Andrea Baker,GCBkvi9QLVe6FN3cIrkLkYLR6+y4gT3pu+whPbOLX1NXzayFDykC85Dl0/hnxl32C5s6wIbE6NXQryMlFLWQBB7qW3Dm5e/MvkLQ7XhdbjVfpujaJdA1DBDDETJ1x0ObWDs5lbNER9uTc8wqahgpXJKKQ5xa5AT9SqaOolWEZ3Bb43Y/avbjhPeN3vSCTwRcmbFVpe/YFC3bMHs9PlPVi41gvs0aJhYSbupHOFU762Gk2AYraK/+qwuYtCMS54CCry7xUsrtM1CQBAGId3emrhQnMY9XUSQ++/2X4ay6BBa9PhLJV4j46zv9gYtIinfp3pl4Ny80m4APVeX0s/ZLzA==,858-637-6955,************9157,72,200b20885acff356650335d81f6a3d16
Resort Hotel,0,7,2015,July,27,1,0,1,1,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,75.0,0,0,Check-Out,2015-07-02,Rebecca Parker,GfICXJ6Nqp/wAtfQyLC4DaPlgB33WcjWaArW69GSHG5mFvKCrU9aGM/immvxqQ17XSOGFtfbURiz478p5372v4183FUAKcmZtB1SKRO0Nz2jnjgQFclFnH0vShf0SXIo2lGRmmJochM+iATK4zLF2rcE3GF3RiZibHKajJt+A+EmLQbWEeUXvp1d+ryet/xWeGjfBuRg3uy78fL8LdFsw3TTPJAMtbReQCxaChux17fzNNoJAMorLbiJ3USlWBR0esjzB2jGqvI9+rKiYpMA3QBDM5nPj4uxaZvqPdhLSnFrMMmfyiM51JVZhC9M1irlRAa26GG6yapIP5X5SVEeDg==,652-885-2745,************3734,44,e7b6a7d778f83ffc70405812d9d425d7
Resort Hotel,0,13,2015,July,27,1,0,1,1,0.0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304.0,,0,Transient,75.0,0,0,Check-Out,2015-07-02,Laura Murray,uBau4Ca1OAiUc4qpmNET99e1oyPIWLjAdm0Wq03H2FLY5WH0e8cAxWcRHXeNf5LVk1DTrqhEsqAaBtt2Tsrl9yXvjsayFzwR9VwpeTIg4yZIH34deXzfjlD8KRZkmiDtrC/zRATrUBkaijtAVL7yB/pn4nuXNUNwQhC4EtVfqsjTYEKHjS8APrBPnji72RDNZ9vDHSQUXAsdY2m5CdsQORzLwFbH79YZg+hU97p3kgCIdTikU8Sn+Z3nchtqTbxSFS7YZLPcoaIv5StxUVZPl3G2SYuIPoDp9zpLSv6evsfR+Dh9Q36V7Rg4maqtYt3Wmf2GZ8KrYvcNh2/fgQRfIA==,364-656-8427,************5677,63,77d102f2ebb6e582772a64ad87410a46
Resort Hotel,0,14,2015,July,27,1,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,98.0,0,1,Check-Out,2015-07-03,Linda Hines,V4fRy0pgi19tV+2in2UGr2ffarb9VCGUWqoI/gTVCkeQEWhKsW60K7eAjE2sdAZ3S2Yxzh9EzIfZJV5akYpv8WY/eVLkAQCvvSzRAfOJnMrDwmWo4Ergrl3UaD29+1EcXzus6bBKHO/NF/m7xRLPdufApyDn7e0lFqz1wFwlR2hSbKRuZYun7yEN/gosaUg7JPyITYNL6LNPvwByCXyIpu2V373BnAmG2o2ICuch9cD2NSF6amSN17rWvros1CDlq3qn8Len0fyBPLIuuShI60t4Wgkbz9Hf9q2yQVjsv1l676265t+y2xyz+7YIyYI6/PwiFaNeT9AMq12rlcw3uw==,713-226-5883,************5498,36,2cd9507c4f3d90c5179fb10e202a5bea
Resort Hotel,0,14,2015,July,27,1,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,98.0,0,1,Check-Out,2015-07-03,Jasmine Fletcher,1Ce/0RCO5zJoHodXv+Bnm+aPos/X7gl5TWz22Th2/aQn8CJzyuIwi5zQgQWw6ummY9DQ8LKW6vNpDNAsWyWOoH28hEN9+PoZCR17Z8j5Ldo1xPt54UYYZPX4aKwAzNv3Sp7Iu41W580ppO1ki7LhqDIS63snZtAFmJrZlzKf8yAgJrEjjzT+lxOtpqhKq3QV1Z3bPWPbg8IScbSjPMnubda/ZzL4MgZoAlCg7aPafV04N0XcQMjqCU0f40TDBTySdBkuVT2FJ000TkmNJrx47N7bMaT8LnLKkR7JplkK3YjwP+bfYw7RhzD/HTqmGTrYWAsgjrNA+jPMqVSmD8xZkw==,190-271-6743,************9263,64,3b43d7bb643e40fcf1239ac037f22641
Resort Hotel,0,0,2015,July,27,1,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107.0,0,0,Check-Out,2015-07-03,Dylan Rangel,bEItFJ45xli3LrtbL7knkbrT3VzpLz63ZvM3T2t1/XmkIvkCOes3ZEnMZIqxOSM3HuZj8vcX6ZxJhKNiEHhTd+8F90JExzMKIK2o5Tk6llM3n0SMnGtUMfwC3g3WpXnCDPNJF1XBkT8SWNOEwx/H/7db1DVHDFbIqXkJ+32Sm6eE6nh0jTGzbd+ns7fIZDOWSiy02+aKkWx7SPfEVXufzRlqiHc/fUHB342undBZLzt9k++ADpWT/sd3xmGiPO4M//A+RDNHyba73nOGt7OnToyExUpnZuEMo8O8+9Wm2eVhupsKBAmHnDkG6Rba3POH3hs6m2lld/yxdU5XummKBQ==,420-332-5209,************6994,42,88e75e07c61e3775c17c8afee5d95838
Resort Hotel,0,9,2015,July,27,1,0,2,2,0.0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303.0,,0,Transient,103.0,0,1,Check-Out,2015-07-03,William Velez,J2bWIF/ca26vQBSByzUewpVJWSIzILSv0Sd4DcIV11MlaWxvJFbcvmvSrA3+LGMZo8xyTB6etWqo75HCZKVNqSNrE6Nnqb2MdT4Lv6qnk2trxCwaJ8gic3wy27hSlam6Aj+h0ylMI3FzCU4sUB6NqgcxssQcWG6voKDxgwHN1PCukOAoNhzhSJiiDEUp90PFW4MPKRIlsqVHptm8NsjIxDEblNz68y+Ah2TKkJu5oEfiYd5f8Y1NrYcMFqrzqEX5mS2Kk0ebKdwVETaTVQNF1Oeicn3BGKNU4h8676/AX0ewlULWfSqqH5cIc1+sa75xqUtGG9DZSymUlnLBl+TGhw==,286-669-4333,************8729,67,4bff03d849454607678d32a90b010ed5
Resort Hotel,1,85,2015,July,27,1,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,82.0,0,1,Canceled,2015-05-06,Steven Murphy,v0ky9Cj7nO8TqWurI1Xu0LLVWEhk0viLbTVk6YqWGcuXlvW3ka9vFhO1hHhxbCDg2e7cynhvn69gOPoMZMKJkJqsKQlB6XPTpa8ZAIh8D0kAX0RVGOOU7bhJsGvT16M5NgSizCbZvrbS36XA9PaGzzjeQLe94lP36yLOUofr5Yg+hGUqI6qg+FF/Rk4x2nwhP3bZJcs14fpZ+kyUaSEIIuIArOQ8WdcuQitvRnXv6P3CBwq+JDLajuFut/nBdaqS3ou2T9szK+5w84FHzoZLBKYSfCdtYygNG+KheVx8R1OZ86Qp8NRe1HKowQtDFaul4z/Kydolk1QIdfKetkaAcQ==,341-726-5787,************3639,41,fe7aa173bec4918741eaad7391924d38
Resort Hotel,1,75,2015,July,27,1,0,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15.0,,0,Transient,105.5,0,0,Canceled,2015-04-22,Michael Moore,AHXCCNJwGqZ4Ux7XfKualemK7r6n2EsTTSiDLMQfY8sls11DlMOtN8I6PZ77EARYXwH+8baY7HeWmrXZE6CCIzCzC68cNfEbjGsPL+7MeMGpAgwG6hFw0H0yzZy2T8O7+Qgt+7XccAhITOf1ldFmLbclu+dhTskygXKb0zxnYrQMyVDmUSJPFeqcWxtVA6Et1B4OcGBCxYKYeWKe8ulsB7sCe4Eey8E5Zj5P1NragZASZjuEVsEju+3hhu44wfO8x7HRN8D0yCa51xDDfRKB0HddQY1trt5EzRJu99rPxl5yiQ0/pItjQTjmEvDF/2Su9JVQyY1fR/3U8eBJw4h9hg==,316-648-6176,************9190,31,09283edfbbf64d36ba4bb9cddeea0365
